Clave Subsistemas Nacionales de Información,Subsistemas Nacionales de Información,Nombre de la base y/o conjunto de datos,Nombre de la tabla de la base de datos / hoja del conjunto de datos,Descripción de capa,Etiqueta del campo o variable,Descripció de Campo,"Tipo de dato
",Rango o valores que permite el campo,Clasificación de la información,Especificaciones y/o reglas de cálculo,Obligatoriedad del campo,Registro de campos vacíos ,Tipo de archivo:
03,Agua,"Sistema_agrícola_de_Chinampas,_SIPAM-FAO","Sistema agrícola de Chinampas, SIPAM-FAO",Zona del sistema agricola de chinampas de las alcaldías Xochimilco y Tláhuac,Id,Identificador asignado de forma aleatoria,Número entero ,,,,,,
03,Agua,"Sistema_agrícola_de_Chinampas,_SIPAM-FAO","Sistema agrícola de Chinampas, SIPAM-FAO",Zona del sistema agricola de chinampas de las alcaldías Xochimilco y Tláhuac,Nombre,Nombre del sistema agricola,Texto,Sistema agricola de chinampas,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
03,Agua,"Sistema_agrícola_de_Chinampas,_SIPAM-FAO","Sistema agrícola de Chinampas, SIPAM-FAO",Zona del sistema agricola de chinampas de las alcaldías Xochimilco y Tláhuac,Fuente,Fuente utilizada para le trazo del sistema agricola ,Texto,SIPAM-FAO,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
